comment,positive,neutral,negative
"Yang bilang saya menjilat.. lha wong kenyataaannya memang ada pembangunan.. kalo mangkrak itu ditinggalkan dan tidak ada yg kerja.. saya kebetulan lagi di balikpapan untuk opening yoong motor, dan kebetulan ada ajakan untuk jalan2 ke IKN, ya sekalian saya buktikan apa omongan netizen.. 😤 kalau setelah nonton video ini anda masih mikir ini proyek mangkrak, ya silahkan.. ndak ada yang maksa anda untuk setuju dengan siapapun.. yang penting makan soto jangan pake kecap manis ya ❤",0,1,0
Yg pastinya Roki gerung dan Anis pasti kepanasan...merej bilNg ikn pasti mangkerk,0,1,0
"Seharusnya mas Andy Boleh masuk istana karena mensupport ikn untuk lebih optimis untuk memajukan infrastruktur Ikn , semangat mas Andy 🤩💪🎉🤩",0,1,0
Drpd dianggurin mending dikontrakin ... 😢 ...,0,1,0
Mudah2an suatu hari ditakdirkan ke IKN penasaran juga ingin kesana.,0,1,0
Rocky gorong gorong kemana ini 😂😂😂😂,0,1,0
Jos mantap konten yutubnya mencerdaskan dan meluruskan narasi orang yg benci pak jokowi.yutubernya luguxdan lucu pol jos mantap.,0,1,0
Mantap,0,1,0
"Wow, jadi pengen ke IKN! Semoga besok bisa dapat undangan ke IKN😊",1,0,0
"Yang BILANG MANGKRAK ke situ juga belom...
TAU INFO JUGA PALING DARI BERITA HOAX....😁🤣😂🤭",0,1,0
"Terimakasih sdh memberikan info di IKN, sehat selalu ya bang jangan minum kecap manis ya bang 😅🤭🙏🙏🙏",0,1,0
Hotelnya untuk orang petinggi soalnya VIP lengkap mirip apartemen keren 35jt perhari,0,1,0
ok,1,0,0
Semoga nantik aku bisa ke ikn salam dari riau,0,1,0
"Kok gak mampir ko,,",0,1,0
"Suamiku kerja proyek di ikn
Ikut wika gedung bangun kantor kementerian pupr
Memang selama bulan puasa kmren stop kerjanya karena kata suamiku dana dr pemerintahan blm turun full dan semua pekerja bertahap dipulangkan
Ini hbis lebaran baru beberapa aja yg berangkat blm semua termasuk suamiku blm berangkat jg karena harga tiket msh mahal ktnya",1,0,0
Walah anti kecap manise orak ketinggalan meneh😂,0,1,0
Wowowoww ayo IKN Kerenn! gak mungkin 'mangkrak' lah. Ini semua masih terlaksana guys pembangunannya cuma dalam proses nya memang jarang yang bahas.. diem diem pasti udah kelar. IKN itu akan jadi kebanggaan nusantara (Indonesia) kelak. Terimakasih juga buat kakaknya yang udah datang dan review untuk kita..❤,0,1,0
"pantesan pada berlomba2 kerja di pemerintah,     rumah di kasih,, gaji mahal,  korupsi ??

   mau berlomba2 smpe ngasih duit pas pemilihan jd wajar aja, mau laporin ke siapa??
  semua udh dapet jatah

harusnya DPR2  itu kan merasakan apa yg rakyat rasakan
 bukan malah apa yg mereka inginkan rakyat yg harus merasakan..",0,1,0
Berjayalah negriku semoga kita sebagai rakyat diberi berkah❤❤❤,0,1,0
"Mantap... Semoga segera pindah ibukota negara secara resmi... Trims info tour nya, Bang... Salam dari bumi sriwijaya, Musi Banyuasin",0,1,0
"Karya pencitraan si jokowi tu, duit minus dipaksa pemikiran yang keliru",0,1,0
semalam 35 juta standart sih dg include segitu..,0,1,0
"Mugo ae para pejabat³ mau pindah ke IKN,,nk gk glm ganti ae kbh...wng banyak penganguran d indonesia msok ngarah gk glm ta kerjoo d knooo...drpd dadi TKW...😊😊😊",0,1,0
Katanya ada tikusnya y mas....😅😅😅😅,0,1,0
15:00 😂 wah makin sulit buat menyuarakan suara kepejabat melenceng,0,1,0
Bravo lkn hebat.,0,1,0
yah dari gelagat pemandunya saja dah ketahuan..meter jadi centimeter..pasti lagi mikir jalur mana yang terlihat aman untuk dijadikan konten publik wkwkwk,0,1,0
"Mangkrak ya rugi dong , udah keluar dana ratusan T",0,1,0
"proyek abal abal itu utk kepentingan koruptor itu... ikn ibukota koruptor nusantara 😂😂😂😂😂
kok seneng banget di tipu ama jokomonyet...",0,1,0
"cuma suku diluar kalimantan yg iri bilang IKN mangkrak, IKN GK KAYAK PEMBANGUNAN DI PULAU JAWA YG BNYK YG MANGKRAK",0,1,0
Kalo usul saya. Itu halaman yang kosong saya tanamin tamaman manfaat.kayak pisang duren cabe sayur mayur.dll😂😂😂😂😂😂😂😂😂 maaf sekedar usul,0,1,0
Swiss Hotel sudah buka tapi pelanggannya tiada. Ha ha!,0,1,0
Katanya semua masih bekerja tapi tidak ditunjukkan video walau seorang pun yang sedang bekerja. Ha ha!,0,1,0
"Pak Anies lebih realistis. Sudah ada Jakarta, perlu apa lagi ibukota baru. Sehingga kini pembangunan IKN tidak mungkin dapat menandingi Jakarta pun, usahkan untuk menyaingi ibukota lain di dunia.",0,1,0
Berbahasa Indonesia lah yg baik,0,1,0
"Emang Gila Fasilitas Para Pejabat Tinggi Negara, Satu Tarikan Nafas nya bisa memakan 1 Kwintal beras, Lain cerita bagi kaum Jelata, Untuk sekedar kenyang ajha hingga sesak Nafas harus bekerja... Kalian Hebat wahai pejabat! 
Engkau meringis dan kami menangis.. Puaskan Duniamu hingga buncit perutmu, persetan rakyat kelaparan, asal kan Nafsu terlampiaskan, Tak pernah peduli penderitaan dan banyak nya rakyat pengangguran...! 
Hidup Dewa Dunia Engkau lah Bahan Bakar Neraka..!",0,1,0
"MANTAFFFFFF
SEKALIAN ORMAS ORMAS & PREMAN NYA DIJAKARTA PINDAHIN KE IBUKOTA BARU 🤭",0,1,0
Fungsi nya di bangun utk apa?,0,1,0
"Hebat mamang kerja ,prsiden pak Jokowi .Sirkuit Mandalika dan ikn  , berjalan dgan lancar tidak magrak.bukti kerjo nyata",0,1,0
Manhkrak mangkrak kuda.lumping apa .banyak bacot aja,0,1,0
Awakmu kok ngumek kecap manis kan iku terserah selera.,0,1,0
9999 masuk. lur.,0,1,0
"Yang gak setuju IKN gak usah di izikan ke IKN , bikin gaduh aja😅😅😅😅",0,1,0
"Ya Allah semoga saya bilang jalan ke sana lihat IKN ,Aamiin 🤲🏻",0,1,0
Mantap bagus bgt,0,1,0
Cok 97 cm lucunee😂😂,0,1,0
Mudah mudahan yang benci NKRI sadarr.,0,1,0
Wes ido dipskai kenopo gak dipakai hanya mengeluarkan tsnpa pemasukan  kebiasaan infonesia  negara kaya raya😊😂❤,0,1,0
"Pejabat dikumpulkan jadi satu.dan di Bagun kemewahan.
Dan rakyat kecil di tingal kan di satu kupulan yang tidak terjamin",0,1,0
Bagus negara indonesia ku semakin  maju semoga mata uang nya tinggi,0,1,0
"Babar, ikn pekerjane cuman 7 orang 😂😂😂",0,1,0
Maksud ny kecap manis apa si??. Gw gk paham njir,0,1,0
Kota Hantu...........😂😂😂😂,0,1,0
"wah... saya malah fokus gambar / hasil rekaman yg begitu jernih...

infonya Mas... pakai Hp apa tuh ?
mkasih... 🙏🙏🙏
suksws selalu... 💪💪💪",0,1,0
Exelco sdh ada di IKN,0,1,0
"Harusnya koko bawa team kameramen, jdi sampyan tinggal jlasin  ke audiens tanpa ribet bwa hp😂",0,1,0
Bagus bosku semoga indonesia. Ikn cepat jadi indonesia terus maju dan lebih baik dijauhkan dari  para koruptor🙏🙏🙏,0,1,0
Mamh tu jokowi yg sudah buang buang duit negara padahal masih banyak masyarakat yg membutuhkan memang pemimpin yg tidak perduli dengan rakyat hanya mementingkan perut nya sendiri blaga tololl,0,1,0
"Coba cek dulu koh di dapur ada kecap manis gk ,kalo ada musnahkan",0,1,0
"Saya sendiri sih berharap IKN jangan mangkrak 😢

Soalnya anggaran yang banyak sudah di gelontorkan disana, toh itu juga nantinya akan bagus buat ekonomi rakyat Kalimantan",0,1,0
"Ini pembangunan untuk orang kaya
Orang miskin gak kebagian😆",0,1,0
Bangun kota isinya fasilitas buat mentri... yg dibakar duit gua.,0,1,0
Menyedihkan kaya kota hantu gitu.,0,1,0
Bukan sumbo paklik ?! 😅😅 Tapi sumbu 😂,0,1,0
Garudanya sampai gosong ya.. 😅,0,1,0
"YANG BILANG IKN MANGKRAK ,GEROMBOLAN SAEPUL ZAMAN,REFLI HARUN,EDI MULYADI ADALAH PARA KATAK DI BAWAH TEMPURUNG,MAIN NYA KURANG JAUH.KASIHAN LO.",0,1,0
👍IKN GASPOL💪,0,1,0
"Top markotp dul2 .yg blg ikn mangkrak itu mulutny org yg umurny tinggl dua bulan. 
Dn mulutny sbntr nyonyor pnyki gudek kadas he he he",1,0,0
"Masya,allah IKN membanggakan,  cita2 pak Jokowi, setiap beliau berkantor di Istana negara, selalu berpikir 🤔""ini kantor ibukota negara masih peninggalan Belanda"".",0,1,0
Indonesia sebenarnya negara kaya tapi masih sampe tahap aparat dan pejabat semoga berangsur waktu rakyat juga bisa segera menikmati ❤,0,1,0
"Wah hebat banget proyek nya megah bgt....,pasti kuat negara nya...pasti makmur rakyatnya.. Pasti sejahtera kehidupannya...Karena ini mega proyek... Keren 😎salut de sama negara nya",0,1,0
Koh Andy pisan2 kunjungan neng pabrik kecap 😂,0,1,0
Mungkin nunggu kamu tiada baru selesai,0,1,0
"Makasih udah ngajak jln2 ke IKN. Salam sesama penyuka soto tanpa kecap 😂❤
Sehat2 bro Andy Sugar",0,1,0
Pembenci Jokowi bakal kejang2,0,1,0
99% Mangkrak,0,1,0
"Mas mas cocote ilo dikondisikan 😂 😂
Joss mass👍",0,1,0
"Untung yg buat konten naik Alphard😂
Coba naik motor butut atau naik motor trail bergaya kuli. 
Paling dak di pedulikan surycity😂😂😂 bisa juga kena usir. 😂
Becanda boss... Aku pernah di sana bagian pelayanan karyawan proyek. 😂😂😂",0,1,0
banyak hak pekerja yang tidak dibayar di proyek ini miris takutnya doa2 yang teraniaya di ijabah,0,1,0
"Msh terus berlanjut pembangunannya, Krn kakak saya sbg staff kontraktor jg berdinas dsana sampai sekarang 😊👍",0,1,0
Taiwan nyimak,0,1,0
Ko ada kah keinginan untuk log. In,0,1,0
Ada yang kepanasan. Biarin aja. Yang penting berusaha. Dari pada duduk diam nunggu duit datang sendiri. Lebih baik pikul sawit sendiri dari pada nunggu sawitnya turun sendiri 😂😂😂😂😂,0,1,0
"BuzzerRp.. wes cak, sing jelas proyek iki ngentekno duit trilliun an, dadine ngene tok gak iso digawe",0,1,0
Provokator,0,1,0
IKN harus berlanjut sampai tuntas,0,1,0
Keren tu,0,1,0
Cuman bayangin bgm perasaan para pembenci Jokowi... Jokowi ada kekurangan IYA !!! tp Dimata mereka... Jokowi TDK ada kebaikan sama sekali,0,1,0
Mewah emg  tp hutang negara bertambah banyak 😂,0,1,0
Di ikn udah ada kantor polisi nya nggak 😂😂,0,1,0
"Walaupun saya kecewa pada akhir kepimpinan jokowi, tp saya salah satu yg setuju kalau ibukota negara di pindah, semoga segera rampung",0,1,0
Seperti di ngerti dongen gk sih.. tiap x melihat video tentang IKN. Kaya mimpi'.. apa lgh klw di malam hari...,0,1,0
bagi ke rakyat kalimantan.....bukan dijajah oleh si jowo go block.,0,1,0
Djual lagi aja gedung ikn ini dan jalan tol.kalo pak Prabowo meneruskan gedung ikn ini maka keuangan negara ini  akan lebih hancur dan rakyat Indonesia akan miskin semuanya percaya ga netizen,0,1,0
79 cm😂,0,1,0
"Roki gerung mana yang koar2 mangkrak ikn,",0,1,0
Masuk akal ko...kenek gawe cerito ndo anak putu hehehehe😊,0,1,0
"Memang sangat menakjupkan IKN nusantara ,sgt istimewa, pantas luar negri kecut, memang top mar kotop",1,0,0
"PretttttORAH MELOK NGRASAKNO...RAKYAT MADIH BSNYAK YG KEKURANGAN

Wis nikmati saja....prettt",0,1,0
Berhala ikn,0,1,0
"Terserah apa kata anda bung yg jelas teman2ku dari brebes kerja diIKN pembayaran dan makan ngga seimbang kerja sekitar 6 bulan , padahal semenjak baru nyampai ngga krasan dan tidak cukup bayarannya , ini anda ngomong begitu anda taunya udah jadi....",0,1,0
❤❤❤,0,1,0
"ikn adalah wajah, gunakan make up yang bagus agar wajah itu tetap terlihat cantik 🎉",0,1,0
Mantab sukses IKN. Jos,0,1,0
Otoritas ikn sebaiknya mengutamakan pekerja atau karyawan warga sekitar ikn dan warga kaltim pada khususnya,0,1,0
"Yang bilang proyek IKN mogok, aku yakin orang tersebut goblok😁",0,1,0
persis kaya wakanda,0,1,0
Bismillahirrahmanirrahim,0,1,0
"Gedung² buat rakyat mana koh ga ada bangunannya , coba diusulin koh , kebanyakan gedung untuk asn , pejabat , menteri , pegawai otorita , mungkin bisa dibantu follow up buat dibantu buat rusun untuk masyarakat disitu supaya dapat menikmati dan bisa mendapat kesejahteraan yang adil dan beradab , bisa menikmati lingkungan yg sama tanpa kesenjangan, ekonomi mereka bisa dibangun juga ketika ikn jadi nantinya, ayo koh diusulin ke mas gibran sama pak prabowo koh , pin komentar saya juga koh  😊",0,1,0
"Wooiigunakanbahasa Indonesia bisa atau nggak..
Anda ini lucu..ngereport. Kondisi IKN sekarang ini..lucunya kenapa tidak menngunakanbahasa Indonesia. LUCU😊😊",0,1,0
Lah. .   . . Iya lah. . . . Yg  ngomong  yg datang pasukan  lingkaran  jokowi . Yaaapasti di angkat di bagusin .  Nanan ah.,0,1,0
"Pasilitas pendidikan infrastruktur dan kesehatan lebih mudah diberikan buat pejabat yg segelintir orang, sedangkan mayoritas rakyat yg dibawah suruh sabar dan kerja kerja kerja... suruh bekerja keras tapi lapangan pekerjaan semakin sempit dibandingkan pasilitas pejabat yg mementingkan kerabat... maaf konoha",0,1,0
Ngakak terus nontonya josss suroboyone,0,1,0
Yang bilang mangkarak dan berharap mangkrak dari orang2 yang membenci pak jokowi,0,1,0
Keren ikn,0,1,0
Garuda melindungi para koruptor😅,0,1,0
Kampungku😊,0,1,0
Yang bilang mangkrak orang orang kadrun para semgkuni,0,1,0
itu yg bilang IKN mangkrak para pembenci pak jokowi aja presiden paling the best  ga ada yg  nyamain paling the best❤👍,1,0,0
"Betulin bahasanya dulu baru ngomong,,,,,",0,1,0
